Activity ID,Activity Status,WBS Code,At Completion Duration(d),Activity Name,Start,Finish,(*)Free Float(d),Total Float,Predecessors,Predecessor Details,Successors,Successor Details,Primary Constraint,Activity Type,Duration Type,Delete This Row
A30020,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,239 Ready for new installations,,29/08/2023 17:00,234,234,A3240,A3240: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30040,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,210 Ready for new installations,,29/08/2023 17:00,234,234,A3280,A3280: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30050,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,208 Ready for new installations,,29/08/2023 17:00,234,234,A3300,A3300: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A29930,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,211 Ready for new installations,,29/08/2023 17:00,234,234,A2600,A2600: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A29940,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,212 Ready for new installations,,29/08/2023 17:00,234,234,A2610,A2610: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A29970,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,232.1 Ready for new installations,,29/08/2023 17:00,234,234,A3070,A3070: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A29990,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,235 Ready for new installations,,29/08/2023 17:00,234,234,A3100,A3100: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A29910,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,242 Ready for new installations,,30/08/2023 17:00,233,233,A2400,A2400: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A29960,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,232 Ready for new installations,,31/08/2023 17:00,232,232,A2920,A2920: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A29920,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,241 Ready for new installations,,05/09/2023 17:00,229,229,A2510,A2510: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A29900,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,240 Ready for new installations,,06/09/2023 17:00,228,228,A2240,A2240: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30030,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,209 Ready for new installations,,07/09/2023 17:00,227,227,A7820,A7820: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A29950,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,213 / 265 Ready for new installations,,07/09/2023 17:00,227,227,A2700,A2700: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A29980,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,237 Ready for new installations,,11/09/2023 17:00,225,225,A7810,A7810: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30000,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Green,0,236 Ready for new installations,,20/09/2023 17:00,218,218,A3180,A3180: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30210,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.White,0,252.1 Ready for new installations,,29/08/2023 17:00,234,234,A4670,A4670: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30220,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.White,0,257 Ready for new installations,,29/08/2023 17:00,234,234,A4610,A4610: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30230,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.White,0,258 Ready for new installations,,08/09/2023 17:00,226,226,A4650,A4650: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30200,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.White,0,252 Ready for new installations,,20/09/2023 17:00,218,218,A7890,A7890: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30240,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.White,0,251 Ready for new installations,,27/09/2023 17:00,213,213,A7900,A7900: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30100,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,244 Ready for new installations,,29/08/2023 08:00,235,235,,,,,,Finish Milestone,Fixed Duration and Units/Time,
A30090,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,233 Ready for new installations,,29/08/2023 17:00,234,234,A3640,A3640: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30130,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,249 Ready for new installations,,30/08/2023 17:00,233,233,A3750,A3750: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30070,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,266 Ready for new installations,,01/09/2023 17:00,231,231,A3380,A3380: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30110,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,247 Ready for new installations,,07/09/2023 17:00,227,227,A5220,A5220: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30060,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,243 Ready for new installations,,08/09/2023 17:00,226,226,A7830,A7830: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30120,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,246 Ready for new installations,,08/09/2023 17:00,226,226,A7850,A7850: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30140,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,248 Ready for new installations,,15/09/2023 17:00,221,221,A7860,A7860: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30190,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,261 Ready for new installations,,19/09/2023 17:00,219,219,A7880,A7880: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30150,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,262 / 268 Ready for new installations,,20/09/2023 17:00,218,218,A3960,A3960: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30170,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,261.1 Ready for new installations,,25/09/2023 17:00,215,215,A4320,A4320: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30180,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,231 Ready for new installations,,04/10/2023 17:00,208,208,A4440,A4440: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30080,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,259 / 259.1 / 260 / 245 Ready for new installations,,19/10/2023 17:00,197,197,A3540,A3540: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A30160,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Ready.Yellow,0,267 (228) Ready for new installations,,20/10/2023 17:00,196,196,A4190,A4190: FF,,,,Finish Milestone,Fixed Duration and Units/Time,
A4750,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.251,1,251 Floor and wall protection during construction phase,29/08/2023 08:00,29/08/2023 17:00,46,62,"A1040, A18160, A29370","A1040: SS, A18160: FS, A29370: FS","A4760, 13","A4760: FS, 13: FS",,Task Dependent,Fixed Duration & Units,
A6510,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.251,1,251 EMS Panel Disinvestment n. 25,20/09/2023 08:00,20/09/2023 17:00,0,41,"A1040, A6530, A18440","A1040: SS, A6530: FS, A18440: FS","5, A7900","5: FS, A7900: FS",,Task Dependent,Fixed Duration & Units,
A7900,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.251,5,251 Make wall good,21/09/2023 08:00,27/09/2023 17:00,0,41,"A6510, A29370","A6510: FS, A29370: FS","A4760, A30240, 13","A4760: FS, A30240: FF, 13: FS",,Task Dependent,Fixed Duration & Units,
A4760,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.251,1,251 Remove floor and wall protection at end of construction phase,04/03/2024 08:00,04/03/2024 17:00,0,110,"A4750, A7900, A18160, A29370, A40400","A4750: FS, A7900: FS, A18160: FS, A29370: FS, A40400: FS",A39830,A39830: FF,,Task Dependent,Fixed Duration & Units,
A4710,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252,1,252 Floor protection during construction phase,29/08/2023 08:00,29/08/2023 17:00,10,51,"A1040, A18160","A1040: SS, A18160: FS",A6280,A6280: FS,,Task Dependent,Fixed Duration & Units,
A6280,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252,1,252 EMS Panel Disinvestment n. 6,13/09/2023 08:00,13/09/2023 17:00,0,41,"A1040, A6330, A18440, A4710","A1040: SS, A6330: FS, A18440: FS, A4710: FS","A6290, 5","A6290: FS, 5: FS",,Task Dependent,Fixed Duration & Units,
A6290,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252,1,252 EMS Panel Disinvestment n. 39,14/09/2023 08:00,14/09/2023 17:00,0,41,"A1040, A6280, A18440","A1040: SS, A6280: FS, A18440: FS","A6300, 5","A6300: FS, 5: FS",,Task Dependent,Fixed Duration & Units,
A6300,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252,1,252 EMS Panel Disinvestment n. 40,15/09/2023 08:00,15/09/2023 17:00,0,41,"A1040, A6290, A18440","A1040: SS, A6290: FS, A18440: FS","A6520, 5","A6520: FS, 5: FS",,Task Dependent,Fixed Duration & Units,
A6520,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252,1,252 EMS Panel Disinvestment n. 41,18/09/2023 08:00,18/09/2023 17:00,0,41,"A1040, A6300, A18440","A1040: SS, A6300: FS, A18440: FS","A6530, 5","A6530: FS, 5: FS",,Task Dependent,Fixed Duration & Units,
A6530,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252,1,252 EMS Panel Disinvestment n. 42,19/09/2023 08:00,19/09/2023 17:00,0,41,"A1040, A6520, A18440","A1040: SS, A6520: FS, A18440: FS","A6510, 5, A7890","A6510: FS, 5: FS, A7890: FS",,Task Dependent,Fixed Duration & Units,
A7890,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252,1,252 Make wall good,20/09/2023 08:00,20/09/2023 17:00,0,46,"A6530, A29370","A6530: FS, A29370: FS","A4720, A30200, 13","A4720: FS, A30200: FF, 13: FS",,Task Dependent,Fixed Duration & Units,
A4720,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252,0,252 No flooring,21/09/2023 08:00,21/09/2023 08:00,0,214,"A7890, A18160","A7890: FS, A18160: FS",A4730,A4730: FS,,Task Dependent,Fixed Duration & Units,
A4730,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252,3,252 Electrical adaptation,21/09/2023 08:00,25/09/2023 17:00,104,214,"A4720, A29410","A4720: FS, A29410: FS",A4740,A4740: FS,,Task Dependent,Fixed Duration & Units,
A4740,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252,1,252 Remove floor protection at end of construction phase,04/03/2024 08:00,04/03/2024 17:00,0,110,"A4730, A18160, A40400","A4730: FS, A18160: FS, A40400: FS","A39790, A1660","A39790: FF, A1660: FF",,Task Dependent,Fixed Duration & Units,
A4670,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252.1,1,252.1 Floor protection during construction phase,29/08/2023 08:00,29/08/2023 17:00,0,229,"A1040, A18160","A1040: SS, A18160: FS","A4680, A30210","A4680: FS, A30210: FF",,Task Dependent,Fixed Duration & Units,
A4680,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252.1,4,252.1 Ventilation ducts caising installation with clean wall pannels,14/11/2023 08:00,17/11/2023 17:00,0,175,"A4670, A1520, A19050, A29370","A4670: FS, A1520: FS, A19050: FS, A29370: FS",A4690,A4690: FS,,Task Dependent,Fixed Duration & Units,
A4690,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252.1,0,252.1 No flooring,20/11/2023 08:00,20/11/2023 08:00,65,175,"A4680, A18160","A4680: FS, A18160: FS",A4700,A4700: FS,,Task Dependent,Fixed Duration & Units,
A4700,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.252.1,1,252.1 Remove floor protection at end of construction phase,04/03/2024 08:00,04/03/2024 17:00,0,110,"A4690, A18160, A40400","A4690: FS, A18160: FS, A40400: FS","A39800, A1660","A39800: FF, A1660: FF",,Task Dependent,Fixed Duration & Units,
A4610,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.257,1,257 Floor protection during construction phase,29/08/2023 08:00,29/08/2023 17:00,0,233,"A1040, A18160","A1040: SS, A18160: FS","A4620, A30220","A4620: FS, A30220: FF",,Task Dependent,Fixed Duration & Units,
A4620,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.257,1,257 Remove floor protection at end of construction phase,04/03/2024 08:00,04/03/2024 17:00,0,110,"A4610, A18160, A40400","A4610: FS, A18160: FS, A40400: FS","A39810, A1660","A39810: FF, A1660: FF",,Task Dependent,Fixed Duration & Units,
A4630,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.258,1,258 Floor protection during construction phase,29/08/2023 08:00,29/08/2023 17:00,0,225,"A1040, A18160","A1040: SS, A18160: FS",A4640,A4640: FS,,Task Dependent,Fixed Duration & Units,
A4640,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.258,5,258 Existing floor to make good with new finish coat localised only,30/08/2023 08:00,05/09/2023 17:00,0,225,"A4630, A18160","A4630: FS, A18160: FS",A4650,A4650: FS,,Task Dependent,Fixed Duration & Units,
A4650,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.258,3,"258 Skirting finish, existing coving resin to make good where required and re-finished",06/09/2023 08:00,08/09/2023 17:00,0,225,A4640,A4640: FS,"A4660, A30230","A4660: FS, A30230: FF",,Task Dependent,Fixed Duration & Units,
A4660,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.White.258,1,258 Remove floor protection at end of construction phase,04/03/2024 08:00,04/03/2024 17:00,0,110,"A4650, A18160, A40400","A4650: FS, A18160: FS, A40400: FS","A39820, A1660","A39820: FF, A1660: FF",,Task Dependent,Fixed Duration & Units,
A4360,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,1,231 Floor protection during construction phase,29/08/2023 08:00,29/08/2023 17:00,0,51,"A1040, A18160","A1040: SS, A18160: FS",A4370,A4370: FS,,Task Dependent,Fixed Duration & Units,
A4370,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,2,231 Partial clean wall pannel removal,30/08/2023 08:00,31/08/2023 17:00,0,51,"A4360, A29360, A29370, A18220","A4360: FS, A29360: FS, A29370: FS, A18220: FS","A4380, 13","A4380: FS, 13: FS",,Task Dependent,Fixed Duration & Units,
A4380,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,2,231 Floor repair where wall have been removed,01/09/2023 08:00,04/09/2023 17:00,0,51,"A4370, A18160, A29370","A4370: FS, A18160: FS, A29370: FS","A4390, 13","A4390: FS, 13: FS",,Task Dependent,Fixed Duration & Units,
A4390,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,5,231 Clean wall pannels installation,05/09/2023 08:00,11/09/2023 17:00,3,51,"A4380, A29360, A29370","A4380: FS, A29360: FS, A29370: FS","A4400, 13","A4400: FS, 13: FS",,Task Dependent,Fixed Duration & Units,
A6380,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,1,231 EMS Panel Disinvestment n. 61,07/09/2023 08:00,07/09/2023 17:00,0,41,"A1040, A6710, A18440","A1040: SS, A6710: FS, A18440: FS","A6310, 5, A7870","A6310: FS, 5: FS, A7870: FS",,Task Dependent,Fixed Duration & Units,
A7870,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,5,231 Make wall good,08/09/2023 08:00,14/09/2023 17:00,0,48,"A6380, A29370","A6380: FS, A29370: FS","A4400, 13","A4400: FS, 13: FS",,Task Dependent,Fixed Duration & Units,
A4400,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,2,231 Ceiling to make good where wall have been removed,15/09/2023 08:00,18/09/2023 17:00,0,48,"A4390, A7870, A29370","A4390: FS, A7870: FS, A29370: FS","A4410, 13","A4410: FS, 13: FS",,Task Dependent,Fixed Duration & Units,
A4410,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,2,231 Ventilation adaptation to the new rooms,19/09/2023 08:00,20/09/2023 17:00,0,205,A4400,A4400: FS,A4420,A4420: FS,,Task Dependent,Fixed Duration & Units,
A4420,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,2,231 Existing clean pannels to make good where required (Repairs if necessary),21/09/2023 08:00,22/09/2023 17:00,0,205,"A4410, A29360","A4410: FS, A29360: FS",A4430,A4430: FS,,Task Dependent,Fixed Duration & Units,
A4430,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,5,231 Existing floor to make good with new finish coat localised only,25/09/2023 08:00,29/09/2023 17:00,0,205,"A4420, A18160","A4420: FS, A18160: FS",A4440,A4440: FS,,Task Dependent,Fixed Duration & Units,
A4440,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,3,"231 Skirting finish, existing coving resin to make good where required and re-finished",02/10/2023 08:00,04/10/2023 17:00,0,205,A4430,A4430: FS,"A4450, A30180","A4450: FS, A30180: FF",,Task Dependent,Fixed Duration & Units,
A4450,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,2,231 New door installation DR 212 (room 248 -> room 231),05/10/2023 08:00,06/10/2023 17:00,95,205,A4440,A4440: FS,A4460,A4460: FS,,Task Dependent,Fixed Duration & Units,
A4460,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.231,1,231 Remove floor protection at end of construction phase,04/03/2024 08:00,04/03/2024 17:00,0,110,"A4450, A18160, A40400","A4450: FS, A18160: FS, A40400: FS","A39770, A1660","A39770: FF, A1660: FF",,Task Dependent,Fixed Duration & Units,
A3640,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.233,1,233 Room to close during construction phase tbc,29/08/2023 08:00,29/08/2023 17:00,0,234,A1040,A1040: SS,"A40240, A30090, A1660","A40240: FF, A30090: FF, A1660: FF",,Task Dependent,Fixed Duration & Units,
A3330,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.243,1,243 Floor protection during construction phase,29/08/2023 08:00,29/08/2023 17:00,0,55,"A18160, A1040","A18160: FS, A1040: SS","A6790, A3340","A6790: FS, A3340: FS",,Task Dependent,Fixed Duration & Units,
A3340,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.243,2,243 New door installation DR 201 (corridor 261 -> room 243),30/08/2023 08:00,31/08/2023 17:00,0,230,A3330,A3330: FS,"A3350, A1660","A3350: FS, A1660: FF",,Task Dependent,Fixed Duration & Units,
A6790,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.243,1,243 EMS Panel Disinvestment n. 20,01/09/2023 08:00,01/09/2023 17:00,0,53,"A6270, A3330, A18440","A6270: FS, A3330: FS, A18440: FS","5, A6760, A7830","5: FS, A6760: FS, A7830: FS",,Task Dependent,Fixed Duration & Units,
A3350,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.243,2,243 Existing floor to make good with new finish coat localised only,01/09/2023 08:00,04/09/2023 17:00,142,230,"A18160, A3340","A18160: FS, A3340: FS",A1660,A1660: FF,,Task Dependent,Fixed Duration & Units,
A7830,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.243,5,243 Make wall good,04/09/2023 08:00,08/09/2023 17:00,0,54,"A6790, A29370","A6790: FS, A29370: FS","A3360, A30060, 13","A3360: FS, A30060: FF, 13: FS",,Task Dependent,Fixed Duration & Units,
A3360,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.243,1,243 Remove protection at end of construction phase,04/03/2024 08:00,04/03/2024 17:00,0,110,"A7830, A40400","A7830: FS, A40400: FS","A40210, A1660","A40210: FF, A1660: FF",,Task Dependent,Fixed Duration & Units,
A3710,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.246,1,246 Floor protection during construction phase,29/08/2023 08:00,29/08/2023 17:00,0,228,"A18160, A1040","A18160: FS, A1040: SS",A3720,A3720: FS,,Task Dependent,Fixed Duration & Units,
A3720,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.246,5,246 Existing floor to make good with new finish coat localised only,30/08/2023 08:00,05/09/2023 17:00,0,228,"A18160, A3710","A18160: FS, A3710: FS",A3730,A3730: FS,,Task Dependent,Fixed Duration & Units,
A6260,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.246,1,246 EMS Panel Disinvestment n. 34,01/09/2023 08:00,01/09/2023 17:00,0,41,"A1040, A6270, A18440","A1040: SS, A6270: FS, A18440: FS","A6250, 5, A7850","A6250: FS, 5: FS, A7850: FS",,Task Dependent,Fixed Duration & Units,
A7850,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.246,5,246 Make wall good,04/09/2023 08:00,08/09/2023 17:00,0,54,"A6260, A29370","A6260: FS, A29370: FS","A40270, A30120, 13","A40270: FF, A30120: FF, 13: FS",,Task Dependent,Fixed Duration & Units,
A3730,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.246,1,246 Remove floor protection at end of construction phase,06/09/2023 08:00,06/09/2023 17:00,140,228,"A18160, A3720","A18160: FS, A3720: FS",A1660,A1660: FF,,Task Dependent,Fixed Duration & Units,
A3650,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.247,1,247 Floor protection during construction phase,29/08/2023 08:00,29/08/2023 17:00,0,41,"A18160, A1040","A18160: FS, A1040: SS","A3660, A40390","A3660: FS, A40390: FS",,Task Dependent,Fixed Duration & Units,
A40390,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.247,1,247 Filling Line protection during construction phase,30/08/2023 08:00,30/08/2023 17:00,0,41,A3650,A3650: FS,A6270,A6270: FS,,Task Dependent,Fixed Duration & Units,
A6270,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.247,1,247 EMS Panel Disinvestment n. 22,31/08/2023 08:00,31/08/2023 17:00,0,41,"A1040, A18440, A40390","A1040: SS, A18440: FS, A40390: FS","A6260, 5, A6790, A3660, A3670, A5220","A6260: FS, 5: FS, A6790: FS, A3660: FS, A3670: FS, A5220: FS",,Task Dependent,Fixed Duration & Units,
A5220,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.247,5,247 Make wall good,01/09/2023 08:00,07/09/2023 17:00,0,55,"A6270, A29370","A6270: FS, A29370: FS","A3660, A3670, A30110, 9, 13","A3660: FS, A3670: FS, A30110: FF, 9: FS, 13: FS",,Task Dependent,Fixed Duration & Units,
A3660,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.247,2,247 New door installation DR 210 (room 245 -> room 247),08/09/2023 08:00,11/09/2023 17:00,0,221,"A6270, A5220, A3650","A6270: FS, A5220: FS, A3650: FS",A3670,A3670: FS,,Task Dependent,Fixed Duration & Units,
A3670,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.247,2,247 New door installation DR 219  (room 246 -> room 247),12/09/2023 08:00,13/09/2023 17:00,0,221,"A6270, A5220, A3660","A6270: FS, A5220: FS, A3660: FS",A3680,A3680: FS,,Task Dependent,Fixed Duration & Units,
A3680,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.247,1,247 Furniture tbc,14/09/2023 08:00,14/09/2023 17:00,0,221,A3670,A3670: FS,A3690,A3690: FS,,Task Dependent,Fixed Duration & Units,
A3690,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.247,0,247 No flooring planned,15/09/2023 08:00,15/09/2023 08:00,0,221,"A18160, A3680","A18160: FS, A3680: FS",A3700,A3700: FS,,Task Dependent,Fixed Duration & Units,
A3700,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.247,1,247 Remove floor protection at end of construction phase,15/09/2023 08:00,15/09/2023 17:00,0,221,"A18160, A3690","A18160: FS, A3690: FS","A40260, A1660","A40260: FF, A1660: FF",,Task Dependent,Fixed Duration & Units,
A3820,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.248,1,248 Floor protection during construction phase,29/08/2023 08:00,29/08/2023 17:00,13,58,"A1040, A18160","A1040: SS, A18160: FS",A3830,A3830: FS,,Task Dependent,Fixed Duration & Units,
A6700,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.248,1,248 EMS Panel Disinvestment n. 23,05/09/2023 08:00,05/09/2023 17:00,0,41,"A1040, A6250, A18440","A1040: SS, A6250: FS, A18440: FS","A6710, 5","A6710: FS, 5: FS",,Task Dependent,Fixed Duration & Units,
A6710,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.248,1,248 EMS Panel Disinvestment n. 52,06/09/2023 08:00,06/09/2023 17:00,0,41,"A1040, A6700, A18440","A1040: SS, A6700: FS, A18440: FS","A6380, 5, A7860, A5010","A6380: FS, 5: FS, A7860: FS, A5010: FS",,Task Dependent,Fixed Duration & Units,
A5010,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.248,2,248 Installation LAF,07/09/2023 08:00,08/09/2023 17:00,0,45,A6710,A6710: FS,A7860,A7860: FS,,Task Dependent,Fixed Duration & Units,
A7860,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 2.Yellow.248,5,248 Make wall good,11/09/2023 08:00,15/09/2023 17:00,0,45,"A6710, A29370, A5010","A6710: FS, A29370: FS, A5010: FS","A3830, A30140, 13","A3830: FS, A30140: FF, 13: FS",,Task Dependent,Fixed Duration & Units,
